replicate,species,window_bp,metric,value
15,dog,1000000,log_pearson,0.49073455129665006
15,dog,1000000,spearman,0.5239229120318565
16,wolf,100000,pearson,0.5556826748361949
16,wolf,100000,log_pearson,0.385484103290309
16,wolf,100000,spearman,0.3543983085376939
16,dog,100000,pearson,0.4914862190137254
16,dog,100000,log_pearson,0.3646607447457878
16,dog,100000,spearman,0.3111819411866204
16,wolf,200000,pearson,0.6488406750560797
16,wolf,200000,log_pearson,0.43601146296696935
16,wolf,200000,spearman,0.41723510058897956
16,dog,200000,pearson,0.5876357335210843
16,dog,200000,log_pearson,0.3983305137640736
16,dog,200000,spearman,0.35486769950823827
16,wolf,500000,pearson,0.7362573055847377
16,wolf,500000,log_pearson,0.489296825155667
16,wolf,500000,spearman,0.48316372207627867
16,dog,500000,pearson,0.6906117419596406
16,dog,500000,log_pearson,0.4338270131704638
16,dog,500000,spearman,0.41058494629747233
16,wolf,1000000,pearson,0.8591944427272182
16,wolf,1000000,log_pearson,0.5482864646902947
16,wolf,1000000,spearman,0.584072574033994
16,dog,1000000,pearson,0.8199673968623631
16,dog,1000000,log_pearson,0.4777211206091436
16,dog,1000000,spearman,0.4857514325390608
17,wolf,100000,pearson,0.5467384950509505
17,wolf,100000,log_pearson,0.38814696688120004
17,wolf,100000,spearman,0.35082138999055557
17,dog,100000,pearson,0.453523711856289
17,dog,100000,log_pearson,0.3645713232785804
17,dog,100000,spearman,0.3307982259671526
17,wolf,200000,pearson,0.6554177458258784
17,wolf,200000,log_pearson,0.4374680770851447
17,wolf,200000,spearman,0.4121475610014345
17,dog,200000,pearson,0.5432645015783185
17,dog,200000,log_pearson,0.39569943038109273
17,dog,200000,spearman,0.3716526365935764
17,wolf,500000,pearson,0.7443584516663135
17,wolf,500000,log_pearson,0.4865476853979282
17,wolf,500000,spearman,0.4745172861665244
17,dog,500000,pearson,0.6321521810476981
17,dog,500000,log_pearson,0.432979416318185
17,dog,500000,spearman,0.42443272797307
17,wolf,1000000,pearson,0.8658893978695797
17,wolf,1000000,log_pearson,0.540635777702562
17,wolf,1000000,spearman,0.5644098065646858
17,dog,1000000,pearson,0.7720917976978788
17,dog,1000000,log_pearson,0.4670816952586101
17,dog,1000000,spearman,0.5028431397746409
18,wolf,100000,pearson,0.5414551760966939
18,wolf,100000,log_pearson,0.3945541787092748
18,wolf,100000,spearman,0.36092017132571225
18,dog,100000,pearson,0.47550237106059634
18,dog,100000,log_pearson,0.3480793252275203
18,dog,100000,spearman,0.30588778425653035
18,wolf,200000,pearson,0.6333107836102
18,wolf,200000,log_pearson,0.4435342522862016
18,wolf,200000,spearman,0.42243242499639627
18,dog,200000,pearson,0.577166278020046
18,dog,200000,log_pearson,0.3787739198113
18,dog,200000,spearman,0.34757398677500156
18,wolf,500000,pearson,0.7318379459914328
18,wolf,500000,log_pearson,0.4986120718279098
18,wolf,500000,spearman,0.493819080722298
18,dog,500000,pearson,0.6791688992307684
18,dog,500000,log_pearson,0.41297596726065455
18,dog,500000,spearman,0.39327423309924786
18,wolf,1000000,pearson,0.8649546715752479
18,wolf,1000000,log_pearson,0.5582897334224809
18,wolf,1000000,spearman,0.5860300858028554
18,dog,1000000,pearson,0.798088841109067
18,dog,1000000,log_pearson,0.45359778082130225
18,dog,1000000,spearman,0.4568789682331571
19,wolf,100000,pearson,0.542823630009984
19,wolf,100000,log_pearson,0.38682001001581207
19,wolf,100000,spearman,0.35557827585747337
19,dog,100000,pearson,0.44876293013834084
19,dog,100000,log_pearson,0.3668776511306889
19,dog,100000,spearman,0.321483874804041
19,wolf,200000,pearson,0.6496782546188612
19,wolf,200000,log_pearson,0.4347249309196264
19,wolf,200000,spearman,0.41684581065184884
19,dog,200000,pearson,0.5436654678786279
19,dog,200000,log_pearson,0.3946053785933469
19,dog,200000,spearman,0.36092505203800906
19,wolf,500000,pearson,0.7380380776008038
19,wolf,500000,log_pearson,0.4864753072965514
19,wolf,500000,spearman,0.48214731624942697
19,dog,500000,pearson,0.6497619757687738
19,dog,500000,log_pearson,0.43297758141941484
19,dog,500000,spearman,0.41230763684084815
19,wolf,1000000,pearson,0.8598230448821882
19,wolf,1000000,log_pearson,0.5451607383672886
19,wolf,1000000,spearman,0.5709543235232668
19,dog,1000000,pearson,0.7696290926433245
19,dog,1000000,log_pearson,0.469447527949237
19,dog,1000000,spearman,0.4933769634595504
