center_mb	gc_percent	unique_tss	wolf_snp_count	dog_snp_count	campbell_pedigree	wolf_ld	dog_ld
84.750224	36.89458203125	2	1057.0	782.0	1.6427114923134313e-09	1.6770525844718164e-08	6.447952292826242e-09
84.850224	37.213306640625	2	1301.0	1001.0	1.2681741329345631e-08	1.535728008856041e-08	4.04791389812309e-09
84.950224	36.8590234375	4	848.0	711.0	1.5485804033534833e-08	5.1786549790899805e-09	2.7680188566536756e-09
85.050224	38.748771484375	1	1258.0	961.0	1.6426040634409667e-09	1.10126198744942e-08	6.065663743547445e-09
85.150224	38.287818359375	1	1162.0	1098.0	1.642604063442077e-09	1.641031364938539e-08	1.046282586314118e-08
85.250224	41.13750330774387	0	1127.0	931.0	2.652174940425689e-08	1.8747583770069022e-08	9.295991466602427e-09
85.350224	38.907080078125	1	982.0	751.0	1.6431289743201737e-09	5.556764556579052e-09	4.371647225418495e-09
85.450224	41.09417445263577	3	814.0	605.0	1.6431289743201737e-09	5.833846790547214e-09	6.591607113769493e-09
85.550224	39.14677734375	1	984.0	760.0	1.643128974321284e-09	8.279476654361462e-09	3.6804317641314643e-09
85.650224	38.5477685546875	1	1316.0	846.0	1.6431289743201737e-09	1.3448028756619656e-08	5.155068060732626e-09
85.750224	38.791705078125	0	1211.0	1056.0	1.7045099004842079e-09	1.83505843344145e-08	5.535921492086926e-09
85.850224	38.85518359375	5	950.0	758.0	3.212587338582762e-08	6.717304223267107e-09	6.163741176937743e-09
85.950224	42.04224390190972	3	1164.0	968.0	3.3808001376720574e-08	2.7668185044480432e-08	2.8526269054082177e-08
86.050224	39.7745771484375	0	1276.0	1019.0	1.227921056502379e-08	1.7963374223216588e-08	1.0247770670219757e-08
86.150224	38.4177294921875	0	1055.0	944.0	6.820852684574774e-10	1.1904042913468693e-08	8.919356151383396e-09
86.250224	37.4646787109375	0	1101.0	989.0	6.820852684563672e-10	1.4166414081674405e-08	1.4606906649792251e-08
86.350224	37.06373046875	0	1035.0	988.0	6.820852684563672e-10	1.3656311689886902e-08	1.3652990226532546e-08
86.450224	38.180048828125	0	1247.0	997.0	6.820852684574774e-10	2.0529152980726107e-08	9.846728825757544e-09
86.550224	38.84446875	6	1074.0	821.0	6.820852684563672e-10	1.8625652501792488e-08	8.395974073327483e-09
86.650224	37.8448212890625	0	1235.0	914.0	6.820852684563672e-10	1.7422293778019958e-08	5.200876257870357e-09
86.750224	38.4529072265625	1	903.0	712.0	6.820852684563672e-10	1.1079422540023477e-08	6.208443905456606e-09
86.850224	40.0896557780911	5	1262.0	961.0	6.820852684574774e-10	1.3010336944523359e-08	9.665379638419402e-09
86.950224	42.108889591122924	0	1103.0	882.0	1.7509395034953633e-09	2.2842121634422118e-08	1.725604250575108e-08
87.050224	44.86625783889358	3	1114.0	778.0	4.097609762094834e-09	2.2017910442039268e-08	1.470768086183405e-08
87.150224	41.35825297090694	1	936.0	773.0	4.097609762093723e-09	2.289601084837334e-08	1.9010613432226543e-08
87.250224	37.632580078125	3	1068.0	901.0	4.097609762094834e-09	7.4427994111703196e-09	8.24849345179124e-09
87.350224	42.0071708984375	0	1103.0	891.0	4.097609762093723e-09	1.9187577727429738e-08	7.744958157837045e-09
87.450224	42.0414072265625	1	939.0	695.0	4.097609762094834e-09	1.0274413558262196e-08	7.690036453221748e-09
87.550224	38.75504375442937	1	1061.0	894.0	4.097609762093723e-09	1.1975645802825285e-08	4.105086286972926e-09
87.650224	38.2862880859375	7	798.0	755.0	4.097609762094834e-09	7.127746856444572e-09	2.4871968980944014e-09
87.750224	38.26322971689824	7	854.0	824.0	4.097609762093723e-09	8.486633146268519e-09	8.631574824118359e-09
87.850224	40.980171875	0	868.0	657.0	4.097609762094834e-09	7.946919959820331e-09	7.038534790175799e-09
87.950224	48.12602258128157	7	1265.0	986.0	5.237184909528958e-09	2.52219285540789e-08	3.2680003467255855e-08
88.050224	42.48520884919763	3	1005.0	852.0	5.423298327182913e-09	5.892350373634114e-09	6.072007186552763e-09
88.150224	41.326206661573345	3	1182.0	1233.0	5.4232983271818026e-09	1.9579014947421758e-08	1.5469186111558564e-08
88.250224	43.89906465521271	7	1413.0	1275.0	5.423298327182913e-09	2.4452795862257572e-08	2.055910501295499e-08
88.350224	43.2961904296875	1	1516.0	1141.0	5.4232983271818026e-09	1.721447805684284e-08	1.0057917934334082e-08
88.450224	41.648806640625	0	1024.0	841.0	2.976550064432981e-09	1.331871678019847e-08	5.542784745551366e-09
88.550224	42.1345390625	12	846.0	629.0	2.0109609594987087e-09	1.0916230791477855e-08	4.98311940849927e-09
88.650224	41.59569215049649	4	878.0	709.0	2.0109609594987087e-09	8.266361393924893e-09	3.642729675349399e-09
88.750224	41.7409033203125	3	846.0	781.0	2.010960959499819e-09	8.228170731729989e-09	1.0443117165964688e-08
88.850224	42.055671875	2	791.0	586.0	2.0109609594987087e-09	5.9604276821645376e-09	4.9813825878131104e-09
88.950224	40.3346142488197	0	952.0	626.0	2.0109609594987087e-09	3.6154351078965252e-09	3.2994261585672648e-09
89.050224	41.41848307871869	3	1118.0	836.0	2.010960959499819e-09	1.6565299944879542e-08	1.0190341974689599e-08
89.150224	40.21086977647316	5	1111.0	836.0	4.277375703767295e-09	2.1905705680667077e-08	7.00673656607198e-09
89.250224	41.763806895707226	2	1235.0	919.0	5.802981345438551e-09	1.2850454497700392e-08	8.307933551690016e-09
89.350224	44.534826045743635	0	1232.0	874.0	5.802981345439662e-09	1.2749210547602363e-08	1.182685157822827e-08
89.450224	43.13084144182062	3	1243.0	808.0	2.4046142357978528e-08	1.935709360782356e-08	1.1902835921167032e-08
89.550224	44.7958828125	6	1160.0	671.0	1.2434705453635564e-08	4.977937311524405e-09	9.427267144188622e-09
89.650224	47.07973997663124	5	1319.0	1097.0	5.80052423069688e-09	2.2822124163038858e-08	2.1007367157322988e-08
89.750224	47.172516721220354	1	1420.0	1039.0	6.059841894409113e-09	2.5118079164057063e-08	2.4235661756243364e-08
89.850224	44.74319828350401	1	1190.0	909.0	6.4336395693220805e-09	2.4340051558736643e-08	1.9912511812004708e-08
89.950224	39.60843359375	0	1025.0	581.0	6.4336395693220805e-09	2.632793179245807e-09	1.2881794089747434e-09
90.050224	40.96936466665725	0	874.0	554.0	6.4336395693220805e-09	4.423159606259386e-09	2.6062633878642938e-09
90.150224	40.83637890625	0	1203.0	864.0	6.43363956932097e-09	8.065804808017329e-09	4.117424114815638e-09
90.250224	39.16397283014386	1	1134.0	883.0	6.4336395693220805e-09	1.0439926841655511e-08	3.227483570743539e-09
90.350224	38.6585078125	1	1100.0	898.0	6.4336395693220805e-09	9.057066248709944e-09	5.664622596074365e-09
90.450224	39.45912890625	0	1066.0	892.0	2.0053246314115647e-08	1.0775941749568973e-08	8.768179056051206e-09
90.550224	40.32380679855425	0	939.0	725.0	1.770220840691117e-08	1.2558944843973352e-08	7.873107797228273e-09
90.650224	41.9208899371722	0	1043.0	743.0	1.160632940502948e-08	1.468766494431506e-08	7.2201596238086195e-09
90.750224	44.28840512105082	6	1090.0	963.0	9.044232768527061e-08	2.39738899126829e-08	2.5448854238799835e-08
90.850224	42.30459765625	1	952.0	771.0	2.7417939920959533e-09	1.3588244081077505e-08	1.361740461148786e-08
90.950224	44.57330806444697	0	1209.0	794.0	6.81948844085678e-10	8.191720897573474e-09	8.359812984001235e-09
91.050224	40.4093560061553	0	1126.0	857.0	6.81948844085678e-10	1.6194004375138515e-08	6.471995822553422e-09
91.150224	40.3219609375	0	1087.0	769.0	6.81948844085678e-10	1.4825894175376497e-08	5.052239956453431e-09
91.250224	42.13107508449938	7	1056.0	899.0	6.819488440867882e-10	1.9825857853166262e-08	9.56143764922035e-09
91.350224	42.32989781605579	2	1137.0	839.0	6.81948844085678e-10	7.537964171927536e-09	5.402855243201721e-09
91.450224	42.06119353794236	2	1076.0	738.0	2.8675050419515457e-08	2.5443705996327505e-08	1.525612107608043e-08
91.550224	41.188724609375	1	1056.0	714.0	1.128400489826209e-08	1.580901473246743e-08	7.030542118516836e-09
91.650224	38.260509765625	0	1003.0	643.0	1.12840048982632e-08	6.958435587184342e-09	1.0587439344420524e-08
91.750224	40.82703125	1	931.0	572.0	2.101577699258339e-09	1.1027302134025696e-08	7.355679647186308e-09
91.850224	36.76306640625	1	565.0	329.0	1.2807178610119151e-09	2.3661281613662766e-09	4.933762959424826e-10
91.950224	36.994209370036046	4	897.0	484.0	1.2807178610130254e-09	4.550037149338992e-09	2.4019528566499027e-09
