replicate,species,window_bp,metric,value
11,dog,100000,pearson,0.5501330361084266
11,dog,100000,log_pearson,0.34299265754680913
11,dog,100000,spearman,0.2802355798722118
11,wolf,200000,pearson,0.6543204406229902
11,wolf,200000,log_pearson,0.4400487815901846
11,wolf,200000,spearman,0.4052106637126827
11,dog,200000,pearson,0.6149913354827522
11,dog,200000,log_pearson,0.36747154562753687
11,dog,200000,spearman,0.3186521346554823
11,wolf,500000,pearson,0.7605620358605143
11,wolf,500000,log_pearson,0.4807146159941322
11,wolf,500000,spearman,0.46989985818498187
11,dog,500000,pearson,0.7353109100084938
11,dog,500000,log_pearson,0.4076993645402415
11,dog,500000,spearman,0.34791182367180074
11,wolf,1000000,pearson,0.8569660814637974
11,wolf,1000000,log_pearson,0.519611400782963
11,wolf,1000000,spearman,0.5578433771609307
11,dog,1000000,pearson,0.8201390303224169
11,dog,1000000,log_pearson,0.4032425301415856
11,dog,1000000,spearman,0.39414280341570784
12,wolf,100000,pearson,0.5760507577510179
12,wolf,100000,log_pearson,0.3884154907050046
12,wolf,100000,spearman,0.34228725549538275
12,dog,100000,pearson,0.5355767275608385
12,dog,100000,log_pearson,0.3343442671461637
12,dog,100000,spearman,0.27281983973017765
12,wolf,200000,pearson,0.6526481590684583
12,wolf,200000,log_pearson,0.4388195648727275
12,wolf,200000,spearman,0.4065504056508582
12,dog,200000,pearson,0.6020986201548024
12,dog,200000,log_pearson,0.3644687943775635
12,dog,200000,spearman,0.3166230780779959
12,wolf,500000,pearson,0.7607557534122075
12,wolf,500000,log_pearson,0.48176872502085133
12,wolf,500000,spearman,0.46226757615071457
12,dog,500000,pearson,0.722993614235563
12,dog,500000,log_pearson,0.3966788595589619
12,dog,500000,spearman,0.33217503203615906
12,wolf,1000000,pearson,0.8570099813773058
12,wolf,1000000,log_pearson,0.5175667492836958
12,wolf,1000000,spearman,0.5595744603296626
12,dog,1000000,pearson,0.8108001619288633
12,dog,1000000,log_pearson,0.4134213139407522
12,dog,1000000,spearman,0.4080133812107364
13,wolf,100000,pearson,0.576067161954334
13,wolf,100000,log_pearson,0.3936309325226688
13,wolf,100000,spearman,0.34287825762650054
13,dog,100000,pearson,0.5472330250281879
13,dog,100000,log_pearson,0.3289158715731144
13,dog,100000,spearman,0.2572730740777334
13,wolf,200000,pearson,0.655523163456244
13,wolf,200000,log_pearson,0.44355095198933675
13,wolf,200000,spearman,0.40464685710036846
13,dog,200000,pearson,0.6139573557634794
13,dog,200000,log_pearson,0.352714004569145
