cohort	release_population	sample_id	selection_order
gamb_GA	GAgam	AS0006-C	3
gamb_GA	GAgam	AS0007-C	4
gamb_GA	GAgam	AS0008-C	5
gamb_GA	GAgam	AS0009-C	6
gamb_GA	GAgam	AS0010-C	7
gamb_GA	GAgam	AS0011-C	8
gamb_GA	GAgam	AS0013-C	9
gamb_GA	GAgam	AS0014-C	10
gamb_GA	GAgam	AS0015-C	11
gamb_GA	GAgam	AS0016-C	12
gamb_GA	GAgam	AS0017-C	13
gamb_GA	GAgam	AS0019-C	14
gamb_GA	GAgam	AS0022-C	15
gamb_GA	GAgam	AS0024-C	16
gamb_GA	GAgam	AS0026-C	17
gamb_GA	GAgam	AS0027-C	18
gamb_GA	GAgam	AS0030-C	19
gamb_GA	GAgam	AS0032-C	20
gamb_GA	GAgam	AS0033-C	21
gamb_GA	GAgam	AS0034-C	22
gamb_GA	GAgam	AS0035-C	23
gamb_GA	GAgam	AS0036-C	24
gamb_GA	GAgam	AS0037-C	25
gamb_GA	GAgam	AS0041-C	26
gamb_GA	GAgam	AS0042-C	27
gamb_GA	GAgam	AS0044-C	28
gamb_GA	GAgam	AS0045-C	29
gamb_GA	GAgam	AS0047-C	30
gamb_GA	GAgam	AS0054-C	31
gamb_GA	GAgam	AS0055-C	32
gamb_GA	GAgam	AS0056-C	33
gamb_GA	GAgam	AS0062-C	34
gamb_GA	GAgam	AS0064-C	35
gamb_GA	GAgam	AS0066-C	36
gamb_GA	GAgam	AS0068-C	37
gamb_GA	GAgam	AS0072-C	38
gamb_GA	GAgam	AS0078-C	39
colu_GH	GHcol	AA0040-C	0
colu_GH	GHcol	AA0041-C	1
colu_GH	GHcol	AA0043-C	2
colu_GH	GHcol	AA0049-C	3
colu_GH	GHcol	AA0052-C	4
colu_GH	GHcol	AA0053-C	5
colu_GH	GHcol	AA0054-C	6
colu_GH	GHcol	AA0055-C	7
colu_GH	GHcol	AA0056-C	8
colu_GH	GHcol	AA0063-C	9
colu_GH	GHcol	AA0064-C	10
colu_GH	GHcol	AA0066-C	11
colu_GH	GHcol	AA0067-C	12
colu_GH	GHcol	AA0073-C	13
colu_GH	GHcol	AA0075-C	14
colu_GH	GHcol	AA0077-C	15
colu_GH	GHcol	AA0087-C	16
colu_GH	GHcol	AA0088-C	17
colu_GH	GHcol	AA0089-C	18
colu_GH	GHcol	AA0090-C	19
colu_GH	GHcol	AA0091-C	20
colu_GH	GHcol	AA0097-C	21
colu_GH	GHcol	AA0098-C	22
colu_GH	GHcol	AA0100-C	23
colu_GH	GHcol	AA0101-C	24
colu_GH	GHcol	AA0102-C	25
colu_GH	GHcol	AA0104-C	26
colu_GH	GHcol	AA0107-C	27
colu_GH	GHcol	AA0109-C	28
colu_GH	GHcol	AA0110-C	29
colu_GH	GHcol	AA0113-C	30
colu_GH	GHcol	AA0115-C	31
colu_GH	GHcol	AA0116-C	32
colu_GH	GHcol	AA0124-C	33
colu_GH	GHcol	AA0125-C	34
colu_GH	GHcol	AA0132-C	35
colu_GH	GHcol	AA0134-C	36
colu_GH	GHcol	AA0136-C	37
colu_GH	GHcol	AA0140-C	38
colu_GH	GHcol	AA0141-C	39
gamb_GN	GNgam	AV0001-C	0
gamb_GN	GNgam	AV0002-C	1
gamb_GN	GNgam	AV0003-C	2
gamb_GN	GNgam	AV0004-C	3
gamb_GN	GNgam	AV0005-C	4
gamb_GN	GNgam	AV0006-C	5
gamb_GN	GNgam	AV0007-C	6
gamb_GN	GNgam	AV0008-C	7
gamb_GN	GNgam	AV0009-C	8
gamb_GN	GNgam	AV0010-C	9
gamb_GN	GNgam	AV0011-C	10
gamb_GN	GNgam	AV0012-C	11
gamb_GN	GNgam	AV0013-C	12
gamb_GN	GNgam	AV0014-C	13
gamb_GN	GNgam	AV0015-C	14
gamb_GN	GNgam	AV0017-C	15
gamb_GN	GNgam	AV0018-C	16
gamb_GN	GNgam	AV0020-C	17
gamb_GN	GNgam	AV0021-C	18
gamb_GN	GNgam	AV0022-C	19
gamb_GN	GNgam	AV0024-C	20
gamb_GN	GNgam	AV0025-C	21
gamb_GN	GNgam	AV0026-C	22
gamb_GN	GNgam	AV0027-C	23
gamb_GN	GNgam	AV0028-C	24
gamb_GN	GNgam	AV0029-C	25
gamb_GN	GNgam	AV0030-C	26
gamb_GN	GNgam	AV0031-C	27
gamb_GN	GNgam	AV0032-C	28
gamb_GN	GNgam	AV0033-C	29
gamb_GN	GNgam	AV0034-C	30
gamb_GN	GNgam	AV0035-C	31
gamb_GN	GNgam	AV0036-C	32
gamb_GN	GNgam	AV0037-C	33
gamb_GN	GNgam	AV0039-C	34
gamb_GN	GNgam	AV0041-C	35
gamb_GN	GNgam	AV0043-C	36
gamb_GN	GNgam	AV0044-C	37
gamb_GN	GNgam	AV0045-C	38
gamb_GN	GNgam	AV0047-C	39
gamb_UG	UGgam	AC0090-C	0
gamb_UG	UGgam	AC0095-C	1
gamb_UG	UGgam	AC0097-C	2
gamb_UG	UGgam	AC0100-C	3
gamb_UG	UGgam	AC0102-C	4
gamb_UG	UGgam	AC0104-C	5
gamb_UG	UGgam	AC0105-C	6
gamb_UG	UGgam	AC0106-C	7
gamb_UG	UGgam	AC0114-C	8
gamb_UG	UGgam	AC0116-C	9
gamb_UG	UGgam	AC0117-C	10
gamb_UG	UGgam	AC0118-C	11
gamb_UG	UGgam	AC0119-C	12
gamb_UG	UGgam	AC0125-C	13
gamb_UG	UGgam	AC0136-C	14
gamb_UG	UGgam	AC0137-C	15
gamb_UG	UGgam	AC0138-C	16
gamb_UG	UGgam	AC0141-C	17
gamb_UG	UGgam	AC0147-C	18
gamb_UG	UGgam	AC0148-C	19
gamb_UG	UGgam	AC0151-C	20
gamb_UG	UGgam	AC0155-C	21
gamb_UG	UGgam	AC0157-C	22
gamb_UG	UGgam	AC0158-C	23
gamb_UG	UGgam	AC0164-C	24
gamb_UG	UGgam	AC0166-C	25
gamb_UG	UGgam	AC0167-C	26
gamb_UG	UGgam	AC0171-C	27
gamb_UG	UGgam	AC0176-C	28
gamb_UG	UGgam	AC0177-C	29
gamb_UG	UGgam	AC0179-C	30
gamb_UG	UGgam	AC0181-C	31
gamb_UG	UGgam	AC0183-C	32
gamb_UG	UGgam	AC0187-C	33
gamb_UG	UGgam	AC0188-C	34
gamb_UG	UGgam	AC0189-C	35
gamb_UG	UGgam	AC0192-C	36
gamb_UG	UGgam	AC0193-C	37
gamb_UG	UGgam	AC0195-C	38
gamb_UG	UGgam	AC0199-C	39
